Type,Price,Bedrooms,Bathrooms,Area,Furnished,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Description,Security,Balcony,Private_Garden,Pets_Allowed,Covered_Parking,Maids_Room,Electricity_Meter,Natural_Gas,Landline,Pool,Central_heating,Built_in_Kitchen_Appliances,Elevator
Twin House,7200000.0,5,3,380,No,Unknown,Cash,Unknown,Finished,6th of October,للبيع فيلا توين هاوس بكمبوند الريم ريزيدانس تشطيب سوبر لوكس,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,5200000.0,4,5,266,No,Layan,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,تاون هاوس للبيع لقطه في كمبوند ليان ريزيدنس صبور موقع مميز جدا,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,871000.0,5,3,251,No,Unknown,Cash or Installment,Ready to move,Unknown,New Cairo - El Tagamoa,للبيع فيلا بجاردن جاهزة علي استلام كمبوند مصر ايطاليا العاصمة الادارية,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6900000.0,5,5,250,No,Fifth Square,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa,تاون للبيع بأقل سعر في كمبوند فيفث سكوير,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,850000.0,5,4,193,No,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلا لقطه للبيع بتصميم مميز جداا امام فندق JW marriot,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6900000.0,3,3,220,No,Al Burouj,Cash or Installment,soon,Unknown,Shorouk City,في البروج امتلك فيلا تاون هاوس بمقدم 5% وقسط ع 14 سنه بسعر غير مسبوووق,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,330000.0,3,3,156,Unknown,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلا للبيع 156م على طريق السويس بالتقسيط في التجمع بجوار مدينتي,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Town House,4800000.0,3,3,220,No,Unknown,Cash,Ready to move,Not Finished,Madinaty,فيلا نموذج f3 للبيع فيو وايت جاردن بحري موقع ممتاز,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,4750000.0,4,4,220,No,Karma Residence,Cash,Ready to move,Finished,Sheikh Zayed,Z7 فيلا للبيع Town house بكمبوند الكارما ريزدينس بالشيخ زايد فيو مميز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Town House,10500000.0,3,3,258,Unknown,District 5 Compound,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,تاون هاوس 258م للبيع مراكز ديستركت 5 التجمع الخامس استلام فوري 10%مقدم,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,10000000.0,5,9,"1,900",No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,فيلا 1900م للبيع بالمنصوريه خلف جرانا كمبوند,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8200000.0,3,3,401,Unknown,Unknown,Unknown,Unknown,Unknown,Sheikh Zayed,فيلا منفصله401م بكمبوند badyaتقسيط8سنين,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,1500000.0,4,3,290,No,Unknown,Cash or Installment,soon,Semi Finished,Sheikh Zayed,فيلا للبيع في سوديك الشيخ زايد 290م استلام قريب SODIC,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,40000000.0,7,7,"1,000",Yes,Madinaty,Cash,Ready to move,Finished,Madinaty,قصرللبيع بمدينتى 7 غرف بحمام سباحة بالفرش بالكامل,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Town House,7500000.0,3,3,281,No,Villino,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا تاون هاوس كورنر للبيع بكمبوند فيلينو متشطب بالكامل فوري villino,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6500000.0,5,5,266,No,Not in Compound,Cash,Ready to move,Semi Finished,Sheikh Zayed,تاون هاوس للبيع 266م بكمبوند كونتينتال ريزيدنس خلف بيفرلى هيلز زايد,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,91000.0,3,3,200,No,Unknown,Cash or Installment,Unknown,Semi Finished,New Cairo - El Tagamoa,تاون هاوس ب 0% مقدم واطول مدة سداد 14 سنة,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,12000000.0,5,5,300,No,Katameya Dunes,Cash,Unknown,Not Finished,New Cairo - El Tagamoa,"this deal , town house in katameya dunes _Second raw",Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,21000000.0,4,4,"1,035",No,Madinaty,Cash,Ready to move,Not Finished,Madinaty,فيلا نموذج C للبيع بمدينتي فيو البحيرات مباشر خالصه الثمن,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,17000000.0,4,4,441,No,Madinaty,Cash,Ready to move,Unknown,Madinaty,فيلا للبيع في مدينتي تطل علي الجولف مباشرة بمساحة ارض 800م متشطبه,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,4750000.0,5,4,256,Unknown,Unknown,Unknown,Unknown,Unknown,Sheikh Zayed,اقل سعر فيلات في مصر بمنطقة زايد الجديدة اسعار لقطة .,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable
Town House,250000.0,4,4,220,Unknown,Al Burouj,Cash or Installment,Unknown,Unknown,Obour City,فيلا 220م للبيع مع حديقة 150م بالتقسيط على 14 سنة,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,610000.0,3,2,200,No,Al Burouj,Cash or Installment,Unknown,Finished,New Cairo - El Tagamoa,تاون هاوس200م للبيع تشطيب سوبرلوكس مقدم610الف فى البروج,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,7300000.0,3,3,210,Unknown,Mountain View - October Park,Installment,soon,Finished,6th of October,Townhouse|Fully Finished|10%DP over 9 years Mountain View October Park,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,4000000.0,4,2,450,Unknown,The Crown,Cash or Installment,Ready to move,Semi Finished,6th of October,فيلتك فوري بممقدم 4م  بجوار نادي الجزيره - وباقي اقسااط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,4500000.0,3,3,222,No,Madinaty,Cash,Ready to move,Not Finished,Madinaty,تاون هاوس موردن نموذج ii,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,7950000.0,4,3,570,No,Cleopatra Palace,Cash or Installment,Ready to move,Finished,Shorouk City,تاون هاوس تشطيب كامل 330م استلام فورى بكمبوند كليوبتراقساط 4 سنين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable
Twin House,3300000.0,4,4,443,No,Unknown,Cash,Ready to move,Unknown,6th of October,توين هاوس للبيع في لافيدا البستان,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,7385000.0,5,5,245,No,Sodic East,Installment,soon,Semi Finished,New Cairo - El Tagamoa,توين هاوس ريسال بأقل مقدم فى سوديك ايست موقع مميز جدا,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,3000000.0,4,3,256,No,Moon Hillls,Installment,2025,Not Finished,6th of October,فيلا توين هاوس  256 م بسعر مغرى باكتوبر كمبوند مون هيلز بدون مقدم,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,65000000.0,10+,10+,"1,000",No,Lake View,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا للبيع في ليك فيو standalone for sale in lake view prime location,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,780000.0,3,3,210,Unknown,2020 Compound,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa,تاون هاوس باقوي لوكيشن علي طريق السويس الجديد,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,14704000.0,3,3,286,No,Unknown,Installment,2025,Not Finished,Amreya,امتلك فيلا مساحة 286م في كمبوندد راقي جدا,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9000000.0,5,4,650,No,Zayed 2000,Cash,Ready to move,Finished,Sheikh Zayed,للبيع فيلا لقطة 650 م مستقلة امام اركان مول مباشرة بكمبوند بالشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Twin House,8198000.0,4,4,300,No,Jedar,Installment,Ready to move,Semi Finished,6th of October,فيلا للبيع بكمبوند جدار Jedar استلام فورى بمقدم 20% بتسهيلات #4,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,6330000.0,5,4,335,No,Lake West,Cash or Installment,soon,Not Finished,Sheikh Zayed,اخر فيلا ب lake west على واصلة دهشور بقسط على 8 سنوات,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,15500000.0,5,5,720,No,Palm Hills Katameya Extension,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا استلام فوري للبيع بكمبوند بالم هيلز قطامية اكستنشن palm hills,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,19270000.0,4,3,370,No,Fifth Square,Installment,Ready to move,Finished,New Cairo - El Tagamoa,فيلا لقطة إستلام فوري 370متر في مراسم Fifth Squ. تشطيب كامل بالتكيفات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Town House,3500000.0,4,4,200,No,Unknown,Cash,Ready to move,Semi Finished,Sheikh Zayed,#7 تاون هاوس للبيع بسعر شقه في الشيخ زايد في كومبوند كونتنتال ريزيدانس,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8500000.0,5,5,448,No,Hyde Park New Cairo,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا 328م مباني علي لاندسكيب باقل من سعر السوق بحري استلام فوري,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,1700000.0,3,3,225,Yes,Unknown,Cash,Ready to move,Finished,Ain Sukhna,Villa Stand Alone | Fully Finished | Sea View,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable
Stand Alone Villa,950000.0,3,3,560,No,Hyde Park New Cairo,Cash or Installment,soon,Not Finished,New Cairo - El Tagamoa,فيلا للبيع 560 متر| كمبوند هايدبارك فى التسعين الجنوبى بقرب الـ AUC,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5250000.0,4,4,225,No,Unknown,Cash,Ready to move,Finished,Sheikh Zayed,Z4فيلا توين هاوس للبيع في الشيخ زايد حمام سباحه كمبوند حدائق المهندسين,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Town House,5400000.0,3,5,266,No,Layan,Cash,Ready to move,Not Finished,New Cairo - El Tagamoa,تاون ميدل من المالك مباشره في كومبوند ليان صبور جاهزه للإستلام فورا,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,10000000.0,4,4,780,Unknown,Al Yasmine,Cash,Ready to move,Unknown,Sheikh Zayed,فيلا للبيع بحمام سباحه كمبوند الياسمين بجوار وادى دجله,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,9550000.0,4,4,243,No,Unknown,Cash or Installment,soon,Semi Finished,New Cairo - El Tagamoa,استلم فيلتك في التجمع الخامس تقسيط على 9 سنوات فيلا243 متر عاين الان و,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Twin House,6122000.0,5,5,333,No,Unknown,Cash or Installment,Ready to move,Semi Finished,Shorouk City,توين هاوس استلام فوري 333م بمقدم 25% وقسط علي 6 سنوات,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,7276100.0,4,4,234,No,Unknown,Installment,2025,Not Finished,Roushdy,في اكبر كمبوند راقي بالاسكنريه وحده للتملك مساحة 234م,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,710000.0,4,4,261,Unknown,Unknown,Cash or Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلتك في كمبوند اماراتي بجوارالباتيو بالتجمع بالتقسيط,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,2800000.0,3,2,165,No,Unknown,Cash,Ready to move,Finished,Maamoura,فيلا دور أرضي للبيع _ المعمورة,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,2700000.0,4,4,340,Unknown,Joulz,Cash or Installment,2023,Semi Finished,6th of October,للبيع تاون هاوس المرحلة الثالثة بموقع مميز فى جولز كمبوند  -6 أكتوبر.,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,7381430.0,5,5,320,No,The Crown,Cash or Installment,soon,Semi Finished,6th of October,فيلا توين هاوس 320م للبيع ب ذاكراون باقل سعر بالم هيلز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Town House,8700000.0,3,4,258,Unknown,District 5 Compound,Cash,Ready to move,Unknown,New Cairo - El Tagamoa,باقل من سعر السوق استلام فوري تاون كورنر ديستريكت5Townhouse District 5,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,478800.0,4,4,270,Unknown,Unknown,Unknown,Unknown,Unknown,6th of October,فيلتك في التوسعات الشمالية بتقسيط علي 108 شهر,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12500000.0,10+,10+,"1,400",No,Gharb Golf & Extension,Cash,Ready to move,Not Finished,New Cairo - El Tagamoa,فيلا للبيع فى امتداد غرب الجولف بجوار مربع الوزراء والقطاميه هايتس,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,4000000.0,3,3,221,No,Madinaty,Cash,Unknown,Finished,Madinaty,فيلا للبيع بمدينتى f3 على اكبروايد جاردن فيو,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,8000000.0,4,4,210,No,La Vista City,Installment,2024,Not Finished,New Capital City,لافيستا سيتي Lavista city عاين وحدتك علي الطبيعه فيلال و تاون و توين,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,4750000.0,4,3,256,No,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed,ادفع 237 الف وامتلك توين هاوس في كمبوند The Villa علي وصلة دهشور قسط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,7700000.0,4,4,330,No,Royal Meadows,Cash,Ready to move,Finished,Sheikh Zayed,فيلا مستقلة للبيع 4 غرف سوبر لوكس استلام فوري | رويال ميدوز الشيخ زايد,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable
Twin House,12995000.0,4,4,337,No,Unknown,Installment,Ready to move,Not Finished,Sheikh Zayed,فيلا توين هاوس للبيع بكمبوند الكرمة 4 اعلى الربوة استلام فورى بتسهيلات,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,3500000.0,4,3,201,No,Madinaty,Cash,Ready to move,Not Finished,Madinaty,"""فيلا نموذج f3 فيووايد جاردن استلام قريب اقل قيمة عقد فى السوق",Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,7000000.0,3,3,320,No,Villino,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا توين هاوس للبيع بكمبوند فيلينو التجمع الخامس تسليم فوري villino,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,6600000.0,4,4,205,No,Badya Palm Hills,Installment,Unknown,Not Finished,6th of October,بدون مقدم  فيلتك باضخم مشروع باكتوبر BADYA بقسط 10 سنين و اقرب استلام,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,11000000.0,9,7,740,No,Beverly Hills,Cash,Unknown,Semi Finished,Sheikh Zayed,"stand alone villa for sale , beverly hills",Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,510000.0,3,3,166,No,Eastshire,Installment,Unknown,Unknown,New Cairo - El Tagamoa,فيلا للبيع لقطة 166م بأقل سعر في التجمع بجوار auc بالتقسيط علي 8 سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,25000000.0,5,5,800,No,Madinaty,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا متشطبة بفرش مميز واحسن سعر بكمبوند مدينتي القاهرة الجديدةmadinaty,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,5250000.0,5,3,210,No,Unknown,Cash or Installment,Ready to move,Semi Finished,6th of October,اسكن الان بفيلا بفيو مميز والاستلام فورى بمقدم فقط 15% من شركة لافيستا,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12800000.0,4,4,380,No,Hyde Park New Cairo,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا للبيع في هايد بارك بالتجمع الخامس380 متر متشطبه - Hydepark,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable
Twin House,7400000.0,4,4,225,Unknown,EL Patio ORO,Cash,Ready to move,Core & Shell,New Cairo - El Tagamoa,توين هاوس فى الباتيو اورو التجمع الخامس استلام فورىLavista patio oro,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Twin House,1242000.0,4,3,280,No,La Vista City,Cash or Installment,soon,Unknown,New Capital City,العاصمه الاداريه امتلك توين هاوس بكمبوند لافيستا سيتي وقسط علي 8 سنين,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,10760000.0,4,3,255,No,La Vista City,Cash or Installment,2024,Semi Finished,New Cairo - El Tagamoa,تاون ڤيلا للبيع بلاڤيستا سيتي العاصمه بالتقسيط ع8س عاين بنفسك واستلم,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,13237000.0,5,4,314,No,Palm Hills New Cairo,Cash or Installment,Unknown,Finished,New Cairo - El Tagamoa,"ارخص فيلا مستقلة في بالم هيلز القاهرة الجديدة التجمع بالتقسيط ع8,5س",Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable
Stand Alone Villa,26000000.0,6,5,950,Unknown,Villette,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,فيلا مستقلة مع أرض كبيرة بكمبوند فيليت سوديك,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,8800000.0,5,3,227,No,Unknown,Cash or Installment,Ready to move,Semi Finished,6th of October,استلم فيليتك فورا بموقع استراتيجى بقلب اكتوبر ( بالقرب من نادى الصيد),Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,3500000.0,4,4,"2,000",No,Unknown,Cash,Ready to move,Semi Finished,(View phone number),فيلا كومباوند وادي النخيل المرحله الرابعه موقع مميز جدا,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,7000000.0,3,3,292,No,Villino,Cash,Unknown,Finished,New Cairo - El Tagamoa,فيلا تاون هاوس كورنر للبيع بسعرغير مسبق وموقع مميز جدا فكمبوند فيلينو,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9000000.0,5,6,321,Yes,Zizinia Gardens,Cash,Ready to move,Finished,New Cairo - El Tagamoa,فيلا رائعة للبيع بموقع و سعر مميز بكمبوند زيزينيا جاردنز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Stand Alone Villa,8200000.0,4,4,460,No,Unknown,Cash,Ready to move,Finished,Rehab City,ارخص فيلا منفصله للبيع في الرحاب 1 موقع مميز وسعر لن يتكرر أن شاء الله,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,8000000.0,4,4,400,No,Unknown,Cash,Unknown,Finished,Sheikh Zayed,باقل من سعر السوق توين هاوس كمبوند دارا جاردنز خلف مول العرب مباشره,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,3800000.0,3,3,289,No,Unknown,Cash or Installment,2025,Semi Finished,Sheikh Zayed,فيلا للبيع توين هاوس بجوار بيفيرلي هيلز كمبوند Montania Park قسط ع9س,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
